artist,stratum,field,url,label,notes
Apulanta,booked,website,https://apulanta.fi/,,
Apulanta,booked,spotify,https://open.spotify.com/artist/5kwthnxNdfnqGk0nL35wDC,,
Apulanta,booked,instagram,https://www.instagram.com/apulantaofficial,,
Apulanta,booked,facebook,https://www.facebook.com/apulanta,,
Apulanta,booked,youtube,https://www.youtube.com/channel/UC9Csb-hlPklaL7zkJjzEokQ,,
Hiromi Uehara,booked,website,https://www.hiromiuehara.com/,,
Hiromi Uehara,booked,spotify,https://open.spotify.com/artist/7DeuppKQdCVhuWrzzCBBpc,,
Hiromi Uehara,booked,instagram,https://www.instagram.com/hiromimusic,,
Hiromi Uehara,booked,facebook,https://www.facebook.com/HiromiFan,,
Hiromi Uehara,booked,youtube,https://www.youtube.com/channel/UCMvNj-EdziRVn5BIwJV6iZg,,
The Bee Gees,booked,website,https://www.beegees.com,,
The Bee Gees,booked,spotify,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN,,
The Bee Gees,booked,instagram,https://www.instagram.com/beegees,,
The Bee Gees,booked,facebook,https://www.facebook.com/beegees,,
The Bee Gees,booked,youtube,https://www.youtube.com/channel/UCD9sCcKXnFxMeuFoNayVxeQ,,
Ленинград,booked,website,https://www.leningrad.top,,
Ленинград,booked,spotify,https://open.spotify.com/artist/5n7zG0G029nE0mR3RkK7Tq,,
Ленинград,booked,instagram,https://www.instagram.com/shnurovs/,,
Ленинград,booked,facebook,https://www.facebook.com/leningrad.top,,
Ленинград,booked,youtube,https://www.youtube.com/user/shnur0k,,
Ленинград,booked,vk,https://vk.com/leningrad,,
Ленинград,booked,telegram,https://t.me/shnurovs,,
EsDeeKid,booked,spotify,https://open.spotify.com/artist/1p9S4kG5R0wA7M6qD9bZ2L,,
EsDeeKid,booked,instagram,https://www.instagram.com/esdeekid/,,
EsDeeKid,booked,youtube,https://www.youtube.com/@esdeekid,,
Chuck Prophet,booked,website,http://www.chuckprophet.com,,
Chuck Prophet,booked,spotify,https://open.spotify.com/artist/3vidJsiALgVC5ZuweJgeDT,,
Flosstradamus,booked,website,http://flosstradamus.com/,,
Flosstradamus,booked,spotify,https://open.spotify.com/artist/2FmzVitXZjIkFolH8HXd4j,,
Flosstradamus,booked,instagram,https://www.instagram.com/flosstradamus,,
Flosstradamus,booked,facebook,https://www.facebook.com/flosstradamus,,
Flosstradamus,booked,youtube,https://www.youtube.com/channel/UCxN-CmeCqkOFBh5qgRM4ZIg,,
Marmalade,booked,website,https://www.themarmalade.net/,,
Marmalade,booked,spotify,https://open.spotify.com/artist/3jYpXyV7k1s9R4o5f6D2aI,,
Marmalade,booked,facebook,https://www.facebook.com/TheMarmalade,,
Marmalade,booked,youtube,https://www.youtube.com/@TheMarmalade,,
Steve Earle,booked,website,https://steveearle.com/,,
Steve Earle,booked,spotify,https://open.spotify.com/artist/0H38jRk7R9zD5Q4pP3gU5M,,
Steve Earle,booked,instagram,https://www.instagram.com/steveearle/,,
Steve Earle,booked,facebook,https://www.facebook.com/SteveEarleMusic,,
Steve Earle,booked,youtube,https://www.youtube.com/@steveearle,,
The Slackers,booked,website,http://www.theslackers.com,,
The Slackers,booked,spotify,https://open.spotify.com/artist/2QRPuDfRA9LtoeGFaMikmK,,
The Slackers,booked,facebook,https://www.facebook.com/theslackers,,
Ian,booked,spotify,https://open.spotify.com/artist/0lFm11Xyv50B3yTqjQyq2x,,
Ian,booked,instagram,https://www.instagram.com/ian/,,
Ian,booked,youtube,https://www.youtube.com/@ianmusic,,
Corona,booked,website,http://www.coronadance.it/,,
Corona,booked,spotify,https://open.spotify.com/artist/26T6b8maqEVltcmE4kSDUl,,
Corona,booked,facebook,https://www.facebook.com/coronadanceoficial,,
Corona,booked,youtube,https://www.youtube.com/channel/UCyzhgljWGANfOziwpKfrymA,,
Courtney Barnett,booked,website,http://courtneybarnett.com.au,,
Courtney Barnett,booked,spotify,https://open.spotify.com/artist/4OOlG5eBXSkSAAEeKjJb5Y,,
Courtney Barnett,booked,instagram,https://www.instagram.com/courtneymelba,,
Courtney Barnett,booked,facebook,https://www.facebook.com/courtneybarnettmusic,,
Courtney Barnett,booked,youtube,https://www.youtube.com/channel/UC4zONxF4rPkPZE6klaIoFpw,,
Zedd,booked,website,https://www.zedd.net/,,
Zedd,booked,spotify,https://open.spotify.com/artist/2qxJFvogampvI02L91g0uS,,
Zedd,booked,instagram,https://www.instagram.com/zedd,,
Zedd,booked,facebook,https://www.facebook.com/Zedd,,
Zedd,booked,youtube,https://www.youtube.com/user/Zedd,,
Against the Current,booked,website,http://www.atcofficial.com/,,
Against the Current,booked,spotify,https://open.spotify.com/artist/6yhD1KjhLxIETFF7vIRf8B,,
Against the Current,booked,instagram,https://www.instagram.com/againstthecurrent/,,
Against the Current,booked,facebook,https://www.facebook.com/againstthecurrentband,,
Against the Current,booked,youtube,https://www.youtube.com/channel/UCxMsgwldMZiuFTD6jjv32yQ,,
Hamilton de Holanda,booked,website,http://www.hamiltondeholanda.com,,
Hamilton de Holanda,booked,spotify,https://open.spotify.com/artist/5Bn4jYRlfMfbxVwfPDGeL8,,
Hamilton de Holanda,booked,instagram,https://www.instagram.com/hamiltondeholanda,,
Hamilton de Holanda,booked,facebook,https://www.facebook.com/hamilton.de.holanda,,
Jessie's Girl,booked,website,http://jessiesgirlnyc.com/,,
Jessie's Girl,booked,facebook,https://www.facebook.com/JessiesGirlNYC,,
July,booked,spotify,https://open.spotify.com/artist/5N0b9R7k4L2v6mJ3xWq8P1,,
July,booked,facebook,https://www.facebook.com/JulyBandOfficial,,
July,booked,youtube,https://music.youtube.com/channel/UCXxKU2YrYpQbXGz3pHSL72A,,
El Tri,booked,website,http://www.eltri.com.mx/demexico/,,
El Tri,booked,spotify,https://open.spotify.com/artist/3HgZDevp7GspkLUAa5cKne,,
El Tri,booked,instagram,https://www.instagram.com/eltri_oficial,,
El Tri,booked,facebook,https://www.facebook.com/eltrioficial,,
El Tri,booked,youtube,https://www.youtube.com/channel/UCTSruUknzSv383nJRPtGY-g,,
EPMD,booked,spotify,https://open.spotify.com/artist/2vH84g1807uGf75g9eUjZ1,,
EPMD,booked,instagram,https://www.instagram.com/realepmd,,
EPMD,booked,facebook,https://www.facebook.com/EPMD.Official,,
EPMD,booked,youtube,https://www.youtube.com/@EPMDVEVO,,
Jah Wobble,booked,website,http://30hertzRecords.com,,
Jah Wobble,booked,spotify,https://open.spotify.com/artist/5jhqwsWfRaETrWPWI0Rc7u,,
Jah Wobble,booked,instagram,https://www.instagram.com/real_jah_wobble,,
Jah Wobble,booked,facebook,https://www.facebook.com/Jah.Wobble.Music,,
Hermeto Pascoal,booked,website,https://www.allmusic.com/artist/hermeto-pascoal-mn0000572263#biography,,
Hermeto Pascoal,booked,facebook,https://www.facebook.com/hermeto.pascoal.o.campeao,,
Witch,booked,website,https://witch-band.com/,,
Witch,booked,spotify,https://open.spotify.com/artist/5P2m6o4o4o4o4o4o4o4o4o,,
Witch,booked,instagram,https://www.instagram.com/witchzamrock/,,
Witch,booked,facebook,https://www.facebook.com/WitchZamrock,,
Aterciopelados,booked,website,https://www.aterciopelados.com/,,
Aterciopelados,booked,spotify,https://open.spotify.com/artist/3MqjsWDLhq8SyY6N3PE8yW,,
Aterciopelados,booked,instagram,https://www.instagram.com/aterciopelados,,
Aterciopelados,booked,facebook,https://www.facebook.com/aterciopelados,,
Aterciopelados,booked,youtube,https://www.youtube.com/channel/UCGaqHkWSf7izAZDX5mVTowg,,
Captain Jack,booked,website,http://captain-jack.de/,,
Captain Jack,booked,spotify,https://open.spotify.com/artist/1b81zU0IfjHE8krv2IZ0Hf,,
Captain Jack,booked,instagram,https://www.instagram.com/captainjack.heyo/,,
Captain Jack,booked,facebook,https://www.facebook.com/CaptainJackOfficial,,
Captain Jack,booked,youtube,https://www.youtube.com/CaptainJackOfficial,,
Captain Jack,booked,vk,https://vk.com/club2189822,,
Alison Krauss,booked,website,https://alisonkrauss.com/,,
Alison Krauss,booked,spotify,https://open.spotify.com/artist/5J6L7N6B4nI1M5cwa29mQG,,
Alison Krauss,booked,instagram,https://www.instagram.com/alisonkrauss,,
Alison Krauss,booked,facebook,https://www.facebook.com/OfficialAlisonKrauss,,
Alison Krauss,booked,youtube,https://www.youtube.com/channel/UC9Xz6XVzGI7akgrcM-WA45Q,,
U.D.O.,booked,website,http://www.udo-online.de/,,
